[FIRs]
;ICAO|NAME|CALLSIGN PREFIX|FIR BOUNDARY
;dummy codes for Adria CTR
ADR|Adria Radar||ADR
ADR-W|Adria Radar (West)|ADR_W|ADR-W
ADR-E|Adria Radar (East)|ADR_E|ADR-E
AGGG|Honiara||AGGG
ANAU|Nauru||ANAU
AYPM|Port Moresby||AYPM
BGGL|Nuuk||BGGL
BIRD|Reykjavik||BIRD
BIRD-E|Reykjavik ACC (East) - Reykjavik|BIRD_E|BIRD-E
BIRD-N|Reykjavik ACC (North) - Reykjavik|BIRD_N|BIRD-N
BIRD-S|Reykjavik ACC (South) - Reykjavik|BIRD_S|BIRD-S
BIRD-W|Reykjavik ACC (West) - Reykjavik|BIRD_W|BIRD-W
CZEG|Edmonton|EDM|CZEG
CZEG|Edmonton|ZEG|CZEG
CZQM|Moncton|MCN|CZQM
CZZV|Sept-Iles (CZUL SFC-280 / CZQM 290-ABV)||CZZV
CZQX|Gander|GAND|CZQX
CZQX|Gander|YQX|CZQX
CZQO|Gander Oceanic|GAN|CZQO
CZQO-GOTA|Gander Oceanic Transition Area (CZQO SFC-280 / CZQX 290-ABV)||CZQO-GOTA
CZUL|Montreal|MTL|CZUL
CZVR|Vancouver|VAN|CZVR
CZVR|Vancouver|CYVR|CZVR
CZVR|Vancouver|ZVR|CZVR
CZWG|Winnipeg|WPG|CZWG
CZWG|Winnipeg|ZWG|CZWG
CZYZ|Toronto|TOR|CZYZ
DAAA|Algiers||DAAA
DGAC|Accra||DGAC
DGAO|Accra Oceanic||DGAO
DIII|Abidjan||DIII
DNKK|Kano||DNKK
DRRR|Niamey||DRRR
DTTC|Tunis||DTTC
EBBU|Brussels||EBBU
EBUR|Brussels Upper||EBBU
EDGG-B|Langen Radar (Baden) - Langen|EDGG_B|EDGG-B
EDGG-G|Langen Radar (Giessen) - Langen|EDGG_G|EDGG-G
EDGG-G|Langen Radar (Giessen) - Langen|EDGG_E|EDGG-G
EDGG-G|Langen Radar (Giessen - Langen|EDGG_J|EDGG-G
EDGG-D|Langen Radar (Dinkelsbuehl) - Langen|EDGG_D|EDGG-D
EDGG-R|Langen Radar (Ruedesheim) - Langen|EDGG_R|EDGG-R
EDGG-R|Langen Radar (Ruedesheim) - Langen|EDGG_I|EDGG-R
EDGG-K|Langen Radar (Kitzingen) - Langen|EDGG_K|EDGG-K
EDGG-K|Langen Radar (Kitzingen) - Langen|EDGG_A|EDGG-K
EDGG-P|Langen Radar (Pad High) - Langen|EDGG_H|EDGG-P
EDGG-P|Langen Radar (Pad High) - Langen|EDGG_P|EDGG-P
EDGG|Langen||EDGG
EDMM|Muenchen||EDMM
EDMM-Z|Muenchen ACC (Zugspitze) - Muenchen|EDMM_Z|EDMM-Z
EDMM-Z|Muenchen ACC (Zugspitze) - Muenchen|EDMM_U|EDMM-Z
EDMM-Z|Muenchen ACC (Zugspitze) - Muenchen|EDMM_T|EDMM-Z
EDMM-Z|Muenchen ACC (Zugspitze) - Muenchen|EDMM_N|EDMM-Z
EDMM-Z|Muenchen ACC (Zugspitze) - Muenchen|EDMM_W|EDMM-Z
EDMM-Z|Muenchen ACC (Zugspitze) - Muenchen|EDMM_A|EDMM-Z
EDMM-R|Muenchen ACC (Roding) - Muenchen|EDMM_R|EDMM-R
EDMM-R|Muenchen ACC (Roding) - Muenchen|EDMM_E|EDMM-R
EDMM-O|Muenchen ACC (Hof) - Muenchen|EDMM_O|EDMM-O
EDMM-O|Muenchen ACC (Hof) - Muenchen|EDMM_B|EDMM-O
EDMM-G|Muenchen ACC (Gera) - Muenchen|EDMM_G|EDMM-G
EDMM-G|Muenchen ACC (Gera) - Muenchen|EDMM_M|EDMM-G
EDMM-G|Muenchen ACC (Gera) - Muenchen|EDWW_B|EDMM-G
EDWW|Bremen||EDWW
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_F|EDWW-B
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_B|EDWW-B
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_K|EDWW-B
EDWW-B|Bremen ACC (Boerde) - Bremen|EDWW_M|EDWW-B
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_A|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_H|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_D|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_R|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_S|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_E|EDWW-A
EDWW-A|Bremen ACC (Aller) - Bremen|EDWW_W|EDWW-A
EETT|Tallinn||EETT
EFIN|Helsinki||EFIN
EGGX|Shanwick Oceanic|EGGX|EGGX
EGPX|Scottish|SCO|EGPX
EGPX-D|Scottish ACC (Dean Cross) - Scottish|SCO_D|EGPX-D
EGPX-D|Scottish TMA (Up to FL255) - Scottish|STC|EGPX-D
EGPX-D|Scottish TMA (Up to FL255) - Scottish|STC_W|EGPX-D
EGPX-D|Scottish TMA (Up to FL255) - Scottish|STC_E|EGPX-D
EGPX-E|Scottish ACC (East) - Scottish|SCO_E|EGPX-E
EGPX-E|Scottish ACC (East) - Scottish|SCO_N|EGPX-E
EGPX-E|Scottish ACC (East) - Scottish|SCO_S|EGPX-E
EGPX-WD|Scottish ACC (West/Dean Cross) - Scottish|SCO_WD|EGPX-WD
EGPX-W|Scottish ACC (West) - Scottish|SCO_W|EGPX-W
EGPX-R|Scottish ACC (Rathlin) - Scottish|SCO_R|EGPX-R
EGPX-R|Scottish TMA (Antrim) - Scottish|STC_A|EGPX-R
EGTL|London TMA (Up to FL195)|LTC|EGTL
EGTM|Manchester TMA (Up to FL285)|MAN|EGTM
EGTT|London|LON|EGTT
EGTT-C|London ACC (Central) - London|LON_C|EGTT-C
EGTT-C|London ACC (Central) - London|LON_E|EGTT-C
EGTT-C|London ACC (Central) - London|LTC_N|EGTT-C
EGTT-C|London ACC (Central) - London|LTC_NW|EGTT-C
EGTT-N|London ACC (North) - London|LON_N|EGTT-N
